X_meters,Y_meters,Altitude_meters,Waypoint,Drone_ID,Waypoint_Type
-700.0,700.0,40.0,0,2,Start
-417.04947891547846,528.3045275335816,40.00058462781239,1,2,Intermediate
-399.92577459754966,517.3633815948673,40.00277506629386,2,2,Intermediate
-231.10403290194444,309.37811069186233,40.003331425393974,3,2,Intermediate
-190.40303109289349,248.5388763631723,40.00442728733083,4,2,Intermediate
-180.81586385348234,230.96685134287802,40.06736050972038,5,2,Intermediate
-162.09070722596482,132.2071116543336,40.06883244241503,6,2,Intermediate
36.33055522970138,-100.75346214773475,40.06873788587401,7,2,Intermediate
407.96744146276325,-438.5179084563744,40.052748507985974,8,2,Intermediate
700.0,-700.0,40.0,9,2,Goal
