X_meters,Y_meters,Altitude_meters,Waypoint,Drone_ID,Waypoint_Type
-700.0,700.0,40.0,0,1,Start
-483.94181505414866,589.3733082675375,39.999865268287046,1,1,Intermediate
-165.7340780096329,395.4828277188931,39.99983908829945,2,1,Intermediate
-142.87333445366102,381.4094075681731,39.999840042468485,3,1,Intermediate
-151.7779232331893,363.4986284653415,39.99984631337032,4,1,Intermediate
-177.95970105511802,326.4162650445017,40.00379691362159,5,1,Intermediate
-263.0509554262041,180.5386897450965,40.00657371626204,6,1,Intermediate
-342.52687215542903,43.98886221258558,40.00659395356485,7,1,Intermediate
-345.02174843096986,-114.82216660122407,40.00656225330028,8,1,Intermediate
-286.04182059586583,-210.36626263539304,40.00001975030246,9,1,Intermediate
800.0,-700.0,40.0,10,1,Goal
