Drone_ID,Waypoint,X_meters,Y_meters,Altitude_meters,Waypoint_Type
0,0,-850.0,-550.0,50.0,Start
0,1,-266.2468193829507,30.002263316151566,50.00443690269596,Intermediate
0,2,4.628404572037825,317.59327106655536,50.444350909328385,Intermediate
0,3,81.37275964604771,333.75574262418473,50.07388217989069,Intermediate
0,4,121.81997316339809,332.3067172611385,50.025686064592655,Intermediate
0,5,141.87778652358597,313.8848345053699,50.02335436953593,Intermediate
0,6,198.8357673307199,223.89663282349548,50.015900620130544,Intermediate
0,7,249.94910108831624,123.23287942699245,50.01234931486381,Intermediate
0,8,286.3715567108929,57.6412988560408,50.00430107526168,Intermediate
0,9,309.74493272969556,57.38156743400041,50.00167264117697,Intermediate
0,10,850.0,650.0,50.0,Goal
1,0,-650.0,750.0,50.0,Start
1,1,-485.3144288997289,639.9803769025818,50.001103070942804,Intermediate
1,2,-290.8249712638473,510.50503329676224,50.00122968984324,Intermediate
1,3,-211.01304714338258,459.4972134079418,50.00131785466912,Intermediate
1,4,-166.7044618269216,431.83795278608966,50.00142415580808,Intermediate
1,5,-143.14291053882317,417.6916603615962,50.00146658291184,Intermediate
1,6,-90.83974987924154,385.32370728769126,50.00145876588334,Intermediate
1,7,-35.46615435489264,349.8983136151028,50.000050024156366,Intermediate
1,8,508.88729112028915,-351.47091719128184,50.00001892751253,Intermediate
1,9,750.0,-650.0,50.0,Goal
2,0,800.0,-800.0,55.0,Start
2,1,-229.36945144440227,167.0800768789092,54.762082079415954,Intermediate
2,2,-345.9884800222691,361.22129610726444,54.71794223337831,Intermediate
2,3,-297.06865683187175,446.11539555510626,54.7191834659201,Intermediate
2,4,-279.85396331654397,466.32705053814016,54.9995786433842,Intermediate
2,5,-219.07222389331903,470.20334604984475,55.98303542303392,Intermediate
2,6,-16.876875590590743,482.628722654501,55.983964794385955,Intermediate
2,7,3.016062020563446,484.84322329073956,55.238361553793055,Intermediate
2,8,-16.02319552962605,499.8826231957849,55.00530120313163,Intermediate
2,9,-713.0727435599035,763.5773921948326,55.00059236382323,Intermediate
2,10,-800.0,800.0,55.0,Goal
3,0,700.0,900.0,50.0,Start
3,1,-2.7338707198665606,40.8822423176831,50.000149433010314,Intermediate
3,2,-95.91457680369335,-73.03346772613516,50.00048799369194,Intermediate
3,3,-244.7715222066558,-172.03052636563737,50.00100590911125,Intermediate
3,4,-484.9314274648837,-195.02464986637978,50.00114786478185,Intermediate
3,5,-542.930739654021,-209.4167548361339,50.00648630074033,Intermediate
3,6,-598.3982148314362,-223.6875060292476,50.0067358081529,Intermediate
3,7,-628.6463334911844,-238.10655463110524,50.00698584283933,Intermediate
3,8,-651.1159199011365,-267.07081934139075,50.41128398952687,Intermediate
3,9,-713.1040998166991,-370.00203534570977,50.390039789778726,Intermediate
3,10,-900.0,-700.0,50.0,Goal
