X_meters,Y_meters,Altitude_meters,Waypoint,Drone_ID,Waypoint_Type
700.0,900.0,50.0,0,3,Start
-2.7338707198665606,40.8822423176831,50.000149433010314,1,3,Intermediate
-95.91457680369335,-73.03346772613516,50.00048799369194,2,3,Intermediate
-244.7715222066558,-172.03052636563737,50.00100590911125,3,3,Intermediate
-484.9314274648837,-195.02464986637978,50.00114786478185,4,3,Intermediate
-542.930739654021,-209.4167548361339,50.00648630074033,5,3,Intermediate
-598.3982148314362,-223.6875060292476,50.0067358081529,6,3,Intermediate
-628.6463334911844,-238.10655463110524,50.00698584283933,7,3,Intermediate
-651.1159199011365,-267.07081934139075,50.41128398952687,8,3,Intermediate
-713.1040998166991,-370.00203534570977,50.390039789778726,9,3,Intermediate
-900.0,-700.0,50.0,10,3,Goal
