X_meters,Y_meters,Altitude_meters,Waypoint,Drone_ID,Waypoint_Type
-700.0,-700.0,30.0,0,0,Start
-332.001023597504,25.756229316129392,30.019406373250973,1,0,Intermediate
-317.25189705662217,53.28127496275542,30.025733880359738,2,0,Intermediate
-261.01065391220317,151.68893636320996,30.026330272964273,3,0,Intermediate
-226.63950001854258,205.47314182533339,30.02636112856223,4,0,Intermediate
-206.28790700371155,222.95507516455828,30.0267440723622,5,0,Intermediate
-212.775468039585,241.98238618124208,30.026949490565826,6,0,Intermediate
-195.73575831044872,257.76854490791067,30.027194960553704,7,0,Intermediate
-155.1998244040943,286.8852287418947,30.027492284920974,8,0,Intermediate
700.0,700.0,35.0,9,0,Goal
