X_meters,Y_meters,Altitude_meters,Waypoint,Drone_ID,Waypoint_Type
-800.0,-600.0,40.0,0,0,Start
-616.5567451207697,-159.32746011684802,39.98536755472097,1,0,Intermediate
-385.64181871084924,155.55586431642445,39.98400184671161,2,0,Intermediate
-313.2656964737723,251.137799640915,39.98578762512355,3,0,Intermediate
-276.1682376726976,287.5378468253121,39.9926567007158,4,0,Intermediate
-248.3484907232763,301.3496820836394,40.00733146913173,5,0,Intermediate
-213.78200709945847,288.71963291839484,40.00939166572666,6,0,Intermediate
-101.43774159290234,243.0689379071209,40.010219039068076,7,0,Intermediate
7.313354392674638,221.2070076404174,40.010833015173155,8,0,Intermediate
395.832289677049,376.3679974988463,40.007423918146216,9,0,Intermediate
900.0,700.0,40.0,10,0,Goal
