X_meters,Y_meters,Altitude_meters,Waypoint,Drone_ID,Waypoint_Type
-850.0,-850.0,40.0,0,0,Start
-583.7642582620043,-463.11391667116243,39.97799229787587,1,0,Intermediate
-550.9042122814225,-414.40764284303907,39.97780415075438,2,0,Intermediate
-509.18965639853684,-350.1026921289006,39.98198689292592,3,0,Intermediate
-493.69484498561235,-324.308588452422,40.0000398523499,4,0,Intermediate
-481.5420924375429,-300.51850311575885,40.71447019185112,5,0,Intermediate
84.12258085494796,632.7432245632867,40.284237886381185,6,0,Intermediate
116.5618102368777,653.6168953586032,40.28348134842686,7,0,Intermediate
134.78591534088395,664.150114184873,40.283371673615974,8,0,Intermediate
236.03816716045543,722.2631443396059,40.000350458593,9,0,Intermediate
850.0,850.0,40.0,10,0,Goal
